,Ano,Sexo,Esporte
0,1900,M,3
1,1920,M,38
2,1924,M,18
3,1932,F,3
4,1932,M,64
5,1936,F,8
6,1936,M,86
7,1948,F,22
8,1948,M,83
9,1952,F,8
10,1952,M,111
11,1956,F,1
12,1956,M,62
13,1960,F,1
14,1960,M,85
15,1964,F,1
16,1964,M,64
17,1968,F,4
18,1968,M,85
19,1972,F,7
20,1972,M,97
21,1976,F,10
22,1976,M,79
23,1980,F,19
24,1980,M,130
25,1984,F,30
26,1984,M,167
27,1988,F,52
28,1988,M,181
29,1992,F,62
30,1992,M,187
31,1994,M,1
32,1996,F,69
33,1996,M,182
34,1998,M,1
35,2000,F,103
36,2000,M,133
37,2002,F,2
38,2002,M,8
39,2004,F,160
40,2004,M,158
41,2006,F,3
42,2006,M,9
43,2008,F,166
44,2008,M,172
45,2010,F,4
46,2010,M,3
47,2012,F,144
48,2012,M,162
49,2014,F,10
50,2014,M,7
51,2016,F,259
52,2016,M,324
